origin_idx,h,fold,y_true,pred_HistGBM,pred_RandomForest,pred_ExtraTrees,pred_ElasticNet,pred_BayesianRidge,pred_kNN,pred_Naive,pred_SeasonalNaive,pred_Stack
1995,3,10,6388.077,6198.666767277345,5967.844564598807,5945.923283879465,5473.873046875,5464.54150390625,5944.908970124117,5625.8985,5195.211009722222,5737.787000280135
1996,1,10,6401.152,6105.128416446458,6039.503193428373,6010.837648211308,5739.3740234375,5678.5205078125,5930.201855502159,5871.804,5204.736343055555,5859.9722605634815
1996,2,10,6388.077,6149.818905757909,6051.4910690580355,6052.7681812376,5739.34716796875,5677.41796875,5937.250622370349,5871.804,5204.736343055555,5885.140860322111
1997,1,10,6388.077,6929.421847770564,6513.178942289865,6516.766097464287,6100.46728515625,6141.63037109375,5928.114310905984,6401.152,5229.4668763888885,6347.473610035622
1999,3,10,6131.818,6288.244207396219,6328.423590102691,6314.793509732145,6012.357421875,5992.17529296875,5908.042522991804,6388.077,5288.133701388889,6166.525345848968
2000,2,10,6131.818,6284.33487725483,6306.2827820910525,6235.327236446427,5979.890625,5910.88623046875,5816.6433279847115,6388.077,5319.673834722223,6086.6551205041615
2000,3,10,6188.148,6279.8392222387365,6318.335425175378,6247.892758733135,5979.86376953125,5909.78369140625,5841.060374270471,6388.077,5319.673834722223,6093.899591855476
2001,1,10,6131.818,5929.290791338189,6100.373150228388,6157.773397974207,5890.36181640625,5861.39013671875,5719.58443908192,6388.077,5353.090293055556,6020.219297815931
2001,2,10,6188.148,5900.4371207811755,6110.482022898032,6182.936696000001,5890.3349609375,5860.287109375,5700.939332074689,6388.077,5353.090293055556,6035.153145467567
2001,3,10,6495.2805,5879.949251083203,6117.437273330572,6193.228944923611,5890.30810546875,5859.1845703125,5718.10145950196,6388.077,5353.090293055556,6041.010031981046
2002,1,10,6188.148,6033.929912030058,6179.652690554179,6206.368383450397,5981.7470703125,6029.24658203125,5859.977167860318,6131.818,5390.578981944444,6114.647330247353
2002,2,10,6495.2805,6034.227012940728,6191.211205635528,6247.051195285715,5981.72021484375,6028.14404296875,5859.915488833625,6131.818,5390.578981944444,6139.054332639582
2002,3,10,6730.8255,6027.984699005164,6198.664588409833,6262.437912289682,5981.693359375,6027.04150390625,5872.949414957595,6131.818,5390.578981944444,6148.020834907984
2003,1,10,6495.2805,6107.141783497544,6184.783330988094,6249.131816175105,5981.3623046875,6041.77734375,5839.895873844362,6188.148,5428.175104166667,6145.584627527477
2003,2,10,6730.8255,6113.758736337104,6186.399295779477,6269.49216176042,5981.33544921875,6040.6748046875,5819.418500487003,6188.148,5428.175104166667,6157.586986248749
2003,3,10,6931.3055,6090.876895841045,6183.21089052551,6281.526861403276,5981.30859375,6039.57177734375,5855.487446804961,6188.148,5428.175104166667,6164.507260014419
2004,1,10,6730.8255,6505.620234615015,6505.148713606149,6532.360923468255,6359.59033203125,6354.9609375,6026.11590919634,6495.2805,5475.220454166667,6439.304489986829
2004,2,10,6931.3055,6519.758112547427,6512.440160167657,6562.198260013891,6359.5634765625,6353.8583984375,6002.599664930291,6495.2805,5475.220454166667,6457.091515514259
2005,1,10,6931.3055,6638.411758495657,6676.193431892316,6755.756605984128,6511.34033203125,6490.193359375,6167.235338535263,6730.8255,5528.402387499999,6627.841509670039
2006,3,10,6764.0195,7200.1064357007335,7098.602922559122,7062.349539836308,6780.81005859375,6814.01220703125,6502.792860363744,6931.3055,5591.912704166667,6939.925963936701
2007,2,10,6764.0195,7102.265204026403,6925.785488354658,7000.792929161705,6841.02392578125,6877.7763671875,6817.751938684506,6931.3055,5653.400159722222,6926.955289896243
2007,3,10,7109.177,7097.3756481129085,6944.063599039776,7013.722998234124,6840.9970703125,6876.673828125,6792.4884322175185,6931.3055,5653.400159722222,6934.422277202191
2008,1,10,6764.0195,7022.842951498373,6828.009026618321,6961.3022925178575,6773.64501953125,6790.30908203125,6982.509259098917,6931.3055,5722.160048611111,6869.102000676843
2008,2,10,7109.177,7066.440478277632,6839.276642712,6980.286716539679,6773.6181640625,6789.20654296875,7021.70120220269,6931.3055,5722.160048611111,6880.2645097211935
